action_id,priority,action_type,owner_team,source_area,normalized_channel,title,recommended_action,business_impact,evidence_metric,due_in_days,action_value,status,created_at
ACT-0011,P1,budget_pacing,growth_finance,target_vs_actual,organic,Resolve organic pacing risk,Review budget owner growth and rebalance plan.,"Revenue gap $4,662,319.",Revenue attainment 0.0%.,5,4662318.72,open,2026-08-22T22:35:21.496327+00:00
ACT-0012,P1,budget_pacing,growth_finance,target_vs_actual,direct,Resolve direct pacing risk,Review budget owner finance and rebalance plan.,"Revenue gap $3,815,704.",Revenue attainment 0.0%.,5,3815704.08,open,2026-08-22T22:35:21.496327+00:00
ACT-0013,P1,budget_pacing,growth_finance,target_vs_actual,email,Resolve email pacing risk,Review budget owner regional_marketing and rebalance plan.,"Revenue gap $3,655,009.",Revenue attainment 0.0%.,5,3655009.47,open,2026-08-22T22:35:21.496327+00:00
ACT-0014,P1,budget_pacing,growth_finance,target_vs_actual,direct,Resolve direct pacing risk,Review budget owner regional_marketing and rebalance plan.,"Revenue gap $3,343,546.",Revenue attainment 0.0%.,5,3343545.63,open,2026-08-22T22:35:21.496327+00:00
ACT-0015,P1,budget_pacing,growth_finance,target_vs_actual,email,Resolve email pacing risk,Review budget owner growth and rebalance plan.,"Revenue gap $3,033,527.",Revenue attainment 0.0%.,5,3033527.36,open,2026-08-22T22:35:21.496327+00:00
ACT-0016,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale Regional Expansion EMEA 2024 Social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $5,315.","ROAS 15.17x, spend $26,574.",7,5314.73,open,2026-08-22T22:35:21.496327+00:00
ACT-0017,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale Brand Search EMEA Q4 Social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $3,475.","ROAS 13.91x, spend $17,376.",7,3475.2479999999996,open,2026-08-22T22:35:21.496327+00:00
ACT-0018,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale Holiday Promo APAC 2025 Social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $2,972.","ROAS 10.81x, spend $14,860.",7,2972.013999999999,open,2026-08-22T22:35:21.496327+00:00
ACT-0019,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale Creator Spark Global Q4 Social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $2,231.","ROAS 13.56x, spend $11,153.",7,2230.503999999999,open,2026-08-22T22:35:21.496327+00:00
ACT-0020,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale Creator Spark EMEA FY25 Social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $2,189.","ROAS 16.86x, spend $10,944.",7,2188.7559999999994,open,2026-08-22T22:35:21.496327+00:00
ACT-0021,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale cart_recovery_us_2025_social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $2,039.","ROAS 10.31x, spend $10,193.",7,2038.655999999999,open,2026-08-22T22:35:21.496327+00:00
ACT-0022,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale Brand Search EMEA FY25 Social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $1,830.","ROAS 12.68x, spend $9,151.",7,1830.134,open,2026-08-22T22:35:21.496327+00:00
ACT-0023,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale Regional Expansion US 2025 Social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $1,790.","ROAS 10.81x, spend $8,952.",7,1790.3019999999997,open,2026-08-22T22:35:21.496327+00:00
ACT-0024,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale Cart Recovery Global FY25 Social,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $1,712.","ROAS 20.21x, spend $8,561.",7,1712.119999999999,open,2026-08-22T22:35:21.496327+00:00
ACT-0025,P1,campaign_budget,growth_marketing,campaign_optimization,paid_social,Scale BRAND SEARCH NA FY25 SOCIAL,High ROAS with enough conversion volume to justify budget expansion.,"Recommended monthly budget delta $1,698.","ROAS 13.99x, spend $8,490.",7,1697.946,open,2026-08-22T22:35:21.496327+00:00
ACT-0026,P2,forecast_risk,growth_marketing,performance_forecast,paid_search,Mitigate forecast ROAS risk for paid_search,Use scenario planner to reduce weak spend or improve conversion rate assumptions.,Forecast ROAS below 1.0 for horizon 1.,"Forecast ROAS 0.00x, CAC $0.",10,1.0,open,2026-08-22T22:35:21.496327+00:00
ACT-0027,P2,forecast_risk,growth_marketing,performance_forecast,paid_search,Mitigate forecast ROAS risk for paid_search,Use scenario planner to reduce weak spend or improve conversion rate assumptions.,Forecast ROAS below 1.0 for horizon 2.,"Forecast ROAS 0.00x, CAC $0.",10,1.0,open,2026-08-22T22:35:21.496327+00:00
ACT-0028,P2,forecast_risk,growth_marketing,performance_forecast,paid_search,Mitigate forecast ROAS risk for paid_search,Use scenario planner to reduce weak spend or improve conversion rate assumptions.,Forecast ROAS below 1.0 for horizon 3.,"Forecast ROAS 0.00x, CAC $0.",10,1.0,open,2026-08-22T22:35:21.496327+00:00
ACT-0029,P2,forecast_risk,growth_marketing,performance_forecast,paid_social,Mitigate forecast ROAS risk for paid_social,Use scenario planner to reduce weak spend or improve conversion rate assumptions.,Forecast ROAS below 1.0 for horizon 1.,"Forecast ROAS 0.00x, CAC $0.",10,1.0,open,2026-08-22T22:35:21.496327+00:00
ACT-0030,P2,forecast_risk,growth_marketing,performance_forecast,paid_social,Mitigate forecast ROAS risk for paid_social,Use scenario planner to reduce weak spend or improve conversion rate assumptions.,Forecast ROAS below 1.0 for horizon 2.,"Forecast ROAS 0.00x, CAC $0.",10,1.0,open,2026-08-22T22:35:21.496327+00:00
ACT-0031,P2,forecast_risk,growth_marketing,performance_forecast,paid_social,Mitigate forecast ROAS risk for paid_social,Use scenario planner to reduce weak spend or improve conversion rate assumptions.,Forecast ROAS below 1.0 for horizon 3.,"Forecast ROAS 0.00x, CAC $0.",10,1.0,open,2026-08-22T22:35:21.496327+00:00
